City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Berbera,SO,2020-02-21 04:21:50,10.44,45.01,77.18,79,99,2.84
179,Saint-Augustin,CA,2020-02-21 04:21:51,51.23,-58.65,-10.12,80,0,18.57
180,Beitbridge,ZW,2020-02-21 04:21:51,-22.22,30.0,78.78,56,71,4.65
181,Lorengau,PG,2020-02-21 04:21:52,-2.02,147.27,83.16,76,50,13.22
182,Karratha,AU,2020-02-21 04:21:52,-20.74,116.85,82.17,82,32,8.39
183,Bayan,CN,2020-02-21 04:21:53,46.08,127.4,21.99,94,100,13.33
184,Dingle,PH,2020-02-21 04:21:53,11.0,122.67,78.91,78,65,18.95
185,Nome,US,2020-02-21 04:19:43,64.5,-165.41,6.8,65,90,19.46
186,Ulkan,RU,2020-02-21 04:21:54,57.24,107.32,20.68,93,100,9.86
187,Namibe,AO,2020-02-21 04:21:55,-15.2,12.15,75.9,73,67,15.79
188,Mayumba,GA,2020-02-21 04:21:55,-3.43,10.66,82.96,80,93,11.39
189,Quang Ngai,VN,2020-02-21 04:21:56,15.12,108.8,74.52,77,80,14.92
190,Flinders,AU,2020-02-21 04:21:56,-34.58,150.86,78.01,68,90,11.41
191,Kerman,IR,2020-02-21 04:21:02,30.28,57.08,51.8,32,20,6.93
192,Baruun-Urt,MN,2020-02-21 04:21:57,46.68,113.28,8.56,92,100,10.18
193,Letka,RU,2020-02-21 04:21:57,59.6,49.42,27.72,97,92,3.56
194,Ous,RU,2020-02-21 04:21:06,60.91,61.52,26.31,91,99,4.76
195,Takoradi,GH,2020-02-21 04:21:58,4.88,-1.76,77.72,92,30,3.47
196,Fallon,US,2020-02-21 04:20:13,39.47,-118.78,37.99,40,75,5.82
197,Champerico,GT,2020-02-21 04:22:00,14.3,-91.92,77.77,71,43,1.81
198,Benguela,AO,2020-02-21 04:22:00,-12.58,13.41,78.53,85,99,0.6
199,Madimba,TZ,2020-02-21 04:22:01,-10.4,40.33,81.59,82,91,5.5
200,Nanakuli,US,2020-02-21 04:22:02,21.39,-158.15,78.8,77,90,9.17
201,Inongo,CD,2020-02-21 04:22:02,-1.95,18.27,76.35,73,95,2.26
202,Kathor,IN,2020-02-21 04:22:03,21.3,72.93,75.2,69,40,4.7
203,Yulara,AU,2020-02-21 04:22:04,-25.24,130.99,95.0,11,0,11.41
204,San Cristobal,VE,2020-02-21 04:22:04,7.77,-72.22,82.4,69,40,2.24
205,Korla,CN,2020-02-21 04:22:05,41.76,86.15,26.01,88,97,5.91
206,Sarnia,CA,2020-02-21 04:22:05,42.98,-82.4,21.0,72,1,7.99
207,Beohari,IN,2020-02-21 04:22:06,24.05,81.38,77.45,19,1,12.17
208,Ponta Do Sol,PT,2020-02-21 04:22:06,32.67,-17.1,55.4,76,40,9.17
209,Acapulco,MX,2020-02-21 04:19:47,16.86,-99.89,80.6,74,5,4.7
210,Baghdad,IQ,2020-02-21 04:22:07,33.34,44.4,44.6,93,0,1.12
211,Ribeira Grande,PT,2020-02-21 04:22:08,38.52,-28.7,52.48,73,100,7.99
212,Zboriste,BA,2020-02-21 04:22:08,45.15,16.02,28.4,79,0,2.24
213,Rio Grande,BR,2020-02-21 04:22:09,-32.03,-52.1,66.49,57,0,18.34
214,Machachi,EC,2020-02-21 04:22:09,-0.5,-78.57,59.0,87,40,1.43
215,Longkou,CN,2020-02-21 04:22:10,37.65,120.33,40.53,90,100,7.56
216,Kodiak,US,2020-02-21 04:22:10,57.79,-152.41,33.8,59,75,21.92
217,Djibo,BF,2020-02-21 04:22:11,14.1,-1.63,73.35,12,31,11.21
218,Saint-Pierre,RE,2020-02-21 04:22:11,-21.34,55.48,80.01,69,90,16.11
219,Vardo,NO,2020-02-21 04:22:13,70.37,31.11,23.0,85,75,12.75
220,Honningsvag,NO,2020-02-21 04:22:13,70.98,25.97,23.0,92,75,34.45
221,Araouane,ML,2020-02-21 04:22:14,18.9,-3.53,73.62,12,100,7.23
222,Abilene,US,2020-02-21 04:22:14,32.45,-99.73,35.6,64,1,8.05
223,Mokhsogollokh,RU,2020-02-21 04:22:15,61.47,128.92,4.03,89,100,3.04
224,Straseni,MD,2020-02-21 04:22:16,47.14,28.61,39.2,93,90,2.24
225,Paramonga,PE,2020-02-21 04:22:16,-10.67,-77.83,71.28,92,86,6.78
226,Buarcos,PT,2020-02-21 04:22:17,40.17,-8.88,53.01,93,20,3.36
227,Limni,GR,2020-02-21 04:22:17,38.77,23.32,46.99,93,75,14.99
228,Mahebourg,MU,2020-02-21 04:22:18,-20.41,57.7,82.4,61,20,11.41
229,Taoudenni,ML,2020-02-21 04:22:18,22.68,-3.98,66.61,17,0,6.76
230,Barranca,PE,2020-02-21 04:22:19,-10.75,-77.77,72.5,93,100,9.08
231,Yanam,IN,2020-02-21 04:22:19,16.73,82.22,84.2,62,20,13.87
232,Urdoma,RU,2020-02-21 04:19:05,61.75,48.54,13.08,97,75,3.69
233,Lebu,CL,2020-02-21 04:22:20,-37.62,-73.65,57.6,60,0,2.17
234,San Jeronimo,PE,2020-02-21 04:22:21,-11.95,-75.28,42.31,83,100,1.9
235,Mehamn,NO,2020-02-21 04:22:21,71.04,27.85,23.0,92,75,34.45
236,Magistralnyy,RU,2020-02-21 04:22:22,56.17,107.45,19.04,87,100,6.87
237,Port Keats,AU,2020-02-21 04:22:22,-14.25,129.55,88.93,63,99,9.48
238,Abbeville,FR,2020-02-21 04:22:23,50.1,1.83,39.0,93,34,11.41
239,Norman Wells,CA,2020-02-21 04:22:23,65.28,-126.83,21.2,92,75,9.17
240,Acoua,YT,2020-02-21 04:22:24,-12.72,45.06,82.4,88,96,3.36
241,La Rioja,ES,2020-02-21 04:18:13,42.25,-2.5,36.0,93,0,8.05
242,Nizhnevartovsk,RU,2020-02-21 04:22:25,60.93,76.55,32.0,96,90,8.95
243,Jabinyanah,TN,2020-02-21 04:22:25,35.03,10.91,48.2,81,0,5.82
244,Kahului,US,2020-02-21 04:18:57,20.89,-156.47,77.0,60,20,16.11
245,Marzuq,YE,2020-02-21 04:22:26,14.4,46.47,61.18,70,91,0.96
246,Mehran,IR,2020-02-21 04:22:27,33.12,46.16,37.4,100,90,4.7
247,Dunkwa,GH,2020-02-21 04:22:27,5.97,-1.78,77.0,92,90,2.42
248,Teguise,ES,2020-02-21 04:22:28,29.06,-13.56,60.8,82,0,5.82
249,Guerrero Negro,MX,2020-02-21 04:22:28,27.98,-114.06,66.45,52,72,8.55
250,Hohhot,CN,2020-02-21 04:22:29,40.81,111.65,32.0,52,40,15.66
251,Ayan,RU,2020-02-21 04:22:29,56.45,138.17,6.48,70,0,4.34
252,San Policarpo,PH,2020-02-21 04:22:30,12.18,125.51,77.76,84,66,23.22
253,Pacific Grove,US,2020-02-21 04:22:30,36.62,-121.92,57.99,71,1,3.36
254,Ylivieska,FI,2020-02-21 04:22:31,64.08,24.67,34.0,92,100,15.01
255,Saint-Georges,GD,2020-02-21 04:22:31,12.06,-61.75,78.8,74,20,11.41
